"Table 101.10. Estimates of resident population, by age group: 1970 through 2018   ",,,,,,,,,,,
[In thousands],,,,,,,,,,,
Year,"Total, all ages","Total, 3 to 34 years old",3 and 4 years old,5 and 6 years old,7 to 13 years old,14 to 17 years old,18 and 19 years old,20 and 21 years old,22 to 24 years old,25 to 29 years old,30 to 34 years old
1990 .....,"249,623","122,787","7,359","7,244","24,785","13,329","7,702","7,886","11,264","21,277","21,939"
1991 .....,"252,981","123,210","7,444","7,393","25,216","13,491","7,208","8,029","11,205","20,923","22,301"
1992 .....,"256,514","123,722","7,614","7,447","25,752","13,775","6,949","7,797","11,391","20,503","22,494"
1993 .....,"259,919","124,371","7,887","7,549","26,212","14,096","6,985","7,333","11,657","20,069","22,584"
1994 .....,"263,126","124,976","8,089","7,725","26,492","14,637","7,047","7,071","11,585","19,740","22,590"
,,,,,,,,,,,
1995 .....,"266,278","125,478","8,107","8,000","26,825","15,013","7,182","7,103","11,197","19,680","22,372"
1996 .....,"269,394","125,924","8,022","8,206","27,168","15,443","7,399","7,161","10,715","19,864","21,945"
1997 .....,"272,647","126,422","7,915","8,232","27,683","15,769","7,569","7,309","10,601","19,899","21,446"
1998 .....,"275,854","126,939","7,841","8,152","28,302","15,829","7,892","7,520","10,647","19,804","20,953"
1999 .....,"279,040","127,446","7,772","8,041","28,763","16,007","8,094","7,683","10,908","19,575","20,603"
,,,,,,,,,,,
2000 .....,"282,162","128,041","7,724","7,972","29,082","16,144","8,199","7,995","11,122","19,280","20,524"
2001 .....,"284,969","128,467","7,630","7,883","29,210","16,280","8,235","8,290","11,467","18,819","20,652"
2002 .....,"287,625","128,955","7,617","7,750","29,251","16,506","8,237","8,342","11,902","18,691","20,658"
2003 .....,"290,108","129,346","7,678","7,661","29,153","16,694","8,325","8,324","12,267","18,772","20,472"
2004 .....,"292,805","129,965","7,885","7,652","28,806","17,054","8,457","8,312","12,534","19,107","20,160"
,,,,,,,,,,,
2005 .....,"295,517","130,280","7,973","7,721","28,527","17,358","8,482","8,392","12,568","19,535","19,724"
2006 .....,"298,380","130,754","7,937","7,942","28,327","17,549","8,567","8,507","12,529","20,110","19,285"
2007 .....,"301,231","131,417","8,002","8,040","28,256","17,597","8,730","8,500","12,578","20,543","19,171"
2008 .....,"304,094","132,269","8,033","8,012","28,426","17,395","9,014","8,555","12,626","20,903","19,305"
2009 .....,"306,772","133,202","8,059","8,088","28,569","17,232","9,146","8,691","12,693","21,078","19,645"
,,,,,,,,,,,
2010\1\ .....,"309,338","134,098","8,189","8,137","28,729","17,066","9,061","8,956","12,746","21,144","20,070"
2011\1\ .....,"311,644","134,900","8,223","8,162","28,754","16,872","8,920","9,193","12,969","21,286","20,521"
2012\1\ .....,"313,993","135,512","8,093","8,228","28,776","16,722","8,787","9,177","13,414","21,394","20,921"
2013\1\ .....,"316,235","136,076","7,983","8,263","28,810","16,653","8,679","9,028","13,791","21,583","21,286"
2014\1\ .....,"318,623","136,629","8,009","8,138","28,815","16,748","8,545","8,895","13,988","21,967","21,524"
,,,,,,,,,,,
2015\1\ .....,"321,040","136,941","7,993","8,033","28,869","16,810","8,468","8,799","13,888","22,426","21,654"
2016\1\ .....,"323,406","137,334","7,969","8,062","28,898","16,779","8,469","8,673","13,711","22,931","21,841"
2017\1\ .....,"325,719","137,678","8,003","8,047","28,909","16,761","8,498","8,595","13,524","23,370","21,972"
2018 .....,"328,033","138,036","8,059","8,023","28,892","16,700","8,602","8,596","13,358","23,619","22,186"
\1\Revised from previously published figures.,,,,,,,,,,,
NOTE: Resident population includes civilian population and armed forces personnel residing within the United States; it excludes armed forces personnel residing overseas. Detail may not sum to totals because of rounding. Population estimates as of July 1 of the indicated reference year.,,,,,,,,,,,
"SOURCE: U.S. Department of Commerce, Census Bureau, Current Population Reports, Series P-25, Nos. 1000, 1022, 1045, 1057, 1059, 1092, and 1095; 2000 through 2009 Population Estimates, retrieved August 14, 2012, from http://www.census.gov/popest/data/national/asrh/2011/index.html; and 2010 through 2018 Population Estimates, retrieved November 8, 2018, from https://www.census.gov/data/tables/2017/demo/popest/nation-detail.html. (This table was prepared November 2018.)",,,,,,,,,,,
