


<pre>
=========================================================================================================
              <b> Station Metadata </b>
=========================================================================================================  
   Station Id         :   8454000
8454000 1 AT 2020-05-29 06:00    20.0   0 0 0
8454000 1 AT 2020-05-29 06:06    20.0   0 0 0
8454000 1 AT 2020-05-29 06:12    19.9   0 0 0
8454000 1 AT 2020-05-29 06:18    19.9   0 0 0
8454000 1 AT 2020-05-29 06:24    19.9   0 0 0
8454000 1 AT 2020-05-29 06:30    19.9   0 0 0
8454000 1 AT 2020-05-29 06:36    19.8   0 0 0
8454000 1 AT 2020-05-29 06:42    19.8   0 0 0
8454000 1 AT 2020-05-29 06:48    19.7   0 0 0
8454000 1 AT 2020-05-29 06:54    19.7   0 0 0
8454000 1 AT 2020-05-29 07:00    19.6   0 0 0
8454000 1 AT 2020-05-29 07:06    19.6   0 0 0
8454000 1 AT 2020-05-29 07:12    19.7   0 0 0
8454000 1 AT 2020-05-29 07:18    19.7   0 0 0
8454000 1 AT 2020-05-29 07:24    19.8   0 0 0
8454000 1 AT 2020-05-29 07:30    19.9   0 0 0
8454000 1 AT 2020-05-29 07:36    20.0   0 0 0
8454000 1 AT 2020-05-29 07:42    20.0   0 0 0
8454000 1 AT 2020-05-29 07:48    19.9   0 0 0
8454000 1 AT 2020-05-29 07:54    19.9   0 0 0
8454000 1 AT 2020-05-29 08:00    19.9   0 0 0
8454000 1 AT 2020-05-29 08:06    19.9   0 0 0
8454000 1 AT 2020-05-29 08:12    19.9   0 0 0
8454000 1 AT 2020-05-29 08:18    19.8   0 0 0
8454000 1 AT 2020-05-29 08:24    19.7   0 0 0
8454000 1 AT 2020-05-29 08:30    19.8   0 0 0
8454000 1 AT 2020-05-29 08:36    19.9   0 0 0
8454000 1 AT 2020-05-29 08:42    19.9   0 0 0
8454000 1 AT 2020-05-29 08:48    19.9   0 0 0
8454000 1 AT 2020-05-29 08:54    19.8   0 0 0
8454000 1 AT 2020-05-29 09:00    19.7   0 0 0
8454000 1 AT 2020-05-29 09:06    20.0   0 0 0
8454000 1 AT 2020-05-29 09:12    20.0   0 0 0
8454000 1 AT 2020-05-29 09:18    20.0   0 0 0
8454000 1 AT 2020-05-29 09:24    20.0   0 0 0
8454000 1 AT 2020-05-29 09:30    20.1   0 0 0
8454000 1 AT 2020-05-29 09:36    20.1   0 0 0
8454000 1 AT 2020-05-29 09:42    20.0   0 0 0
8454000 1 AT 2020-05-29 09:48    20.0   0 0 0
8454000 1 AT 2020-05-29 09:54    20.0   0 0 0
8454000 1 AT 2020-05-29 10:00    20.0   0 0 0
8454000 1 AT 2020-05-29 10:06    20.1   0 0 0
8454000 1 AT 2020-05-29 10:12    20.1   0 0 0
8454000 1 AT 2020-05-29 10:18    20.1   0 0 0
8454000 1 AT 2020-05-29 10:24    20.1   0 0 0
8454000 1 AT 2020-05-29 10:30    20.2   0 0 0
8454000 1 AT 2020-05-29 10:36    20.3   0 0 0
8454000 1 AT 2020-05-29 10:42    20.3   0 0 0
8454000 1 AT 2020-05-29 10:48    20.4   0 0 0
8454000 1 AT 2020-05-29 10:54    20.5   0 0 0
8454000 1 AT 2020-05-29 11:00    20.5   0 0 0
8454000 1 AT 2020-05-29 11:06    19.2   0 0 0
8454000 1 AT 2020-05-29 11:12    19.0   0 0 0
8454000 1 AT 2020-05-29 11:18    18.9   0 0 0
8454000 1 AT 2020-05-29 11:24    18.8   0 0 0
8454000 1 AT 2020-05-29 11:30    18.7   0 0 0
8454000 1 AT 2020-05-29 11:36    18.7   0 0 0
8454000 1 AT 2020-05-29 11:42    18.7   0 0 0
8454000 1 AT 2020-05-29 11:48    18.5   0 0 0
8454000 1 AT 2020-05-29 11:54    18.6   0 0 0
8454000 1 AT 2020-05-29 12:00    18.7   0 0 0
8454000 1 AT 2020-05-29 12:06    18.7   0 0 0
8454000 1 AT 2020-05-29 12:12    18.7   0 0 0
8454000 1 AT 2020-05-29 12:18    18.7   0 0 0
8454000 1 AT 2020-05-29 12:24    18.7   0 0 0
8454000 1 AT 2020-05-29 12:30    18.8   0 0 0
8454000 1 AT 2020-05-29 12:36    18.7   0 0 0
8454000 1 AT 2020-05-29 12:42    18.6   0 0 0
8454000 1 AT 2020-05-29 12:48    18.4   0 0 0
8454000 1 AT 2020-05-29 12:54    18.4   0 0 0
8454000 1 AT 2020-05-29 13:00    18.4   0 0 0
8454000 1 AT 2020-05-29 13:06    18.4   0 0 0
8454000 1 AT 2020-05-29 13:12    18.2   0 0 0
8454000 1 AT 2020-05-29 13:18    18.2   0 0 0
8454000 1 AT 2020-05-29 13:24    18.2   0 0 0
8454000 1 AT 2020-05-29 13:30    18.4   0 0 0
8454000 1 AT 2020-05-29 13:36    18.4   0 0 0
8454000 1 AT 2020-05-29 13:42    18.8   0 0 0
8454000 1 AT 2020-05-29 13:48    18.9   0 0 0
8454000 1 AT 2020-05-29 13:54    18.8   0 0 0
8454000 1 AT 2020-05-29 14:00    18.8   0 0 0
8454000 1 AT 2020-05-29 14:06    19.0   0 0 0
8454000 1 AT 2020-05-29 14:12    19.2   0 0 0
8454000 1 AT 2020-05-29 14:18    19.3   0 0 0
8454000 1 AT 2020-05-29 14:24    19.4   0 0 0
8454000 1 AT 2020-05-29 14:30    19.2   0 0 0
8454000 1 AT 2020-05-29 14:36    19.2   0 0 0
8454000 1 AT 2020-05-29 14:42    19.2   0 0 0
8454000 1 AT 2020-05-29 14:48    19.4   0 0 0
8454000 1 AT 2020-05-29 14:54    20.3   0 0 0
8454000 1 AT 2020-05-29 15:00    20.8   0 0 0
8454000 1 AT 2020-05-29 15:06    21.1   0 0 0
8454000 1 AT 2020-05-29 15:12    21.7   0 0 0
8454000 1 AT 2020-05-29 15:18    21.8   0 0 0
8454000 1 AT 2020-05-29 15:24    21.8   0 0 0
8454000 1 AT 2020-05-29 15:30    21.8   0 0 0
8454000 1 AT 2020-05-29 15:36    21.7   0 0 0
8454000 1 AT 2020-05-29 15:42    21.6   0 0 0
8454000 1 AT 2020-05-29 15:48    21.7   0 0 0
8454000 1 AT 2020-05-29 15:54    21.7   0 0 0
8454000 1 AT 2020-05-29 16:00    21.5   0 0 0
8454000 1 AT 2020-05-29 16:06    19.7   0 0 0
8454000 1 AT 2020-05-29 16:12    19.7   0 0 0
8454000 1 AT 2020-05-29 16:18    19.6   0 0 0
8454000 1 AT 2020-05-29 16:24    19.5   0 0 0
8454000 1 AT 2020-05-29 16:30    19.6   0 0 0
8454000 1 AT 2020-05-29 16:36    19.9   0 0 0
8454000 1 AT 2020-05-29 16:42    20.0   0 0 0
8454000 1 AT 2020-05-29 16:48    21.0   0 0 0
8454000 1 AT 2020-05-29 16:54    20.8   0 0 0
8454000 1 AT 2020-05-29 17:00    22.7   0 0 0
8454000 1 AT 2020-05-29 17:06    23.4   0 0 0
8454000 1 AT 2020-05-29 17:12    23.5   0 0 0
8454000 1 AT 2020-05-29 17:18    23.6   0 0 0
8454000 1 AT 2020-05-29 17:24    23.8   0 0 0
8454000 1 AT 2020-05-29 17:30    24.1   0 0 0
8454000 1 AT 2020-05-29 17:36    24.5   0 0 0
8454000 1 AT 2020-05-29 17:42    25.0   0 0 0
8454000 1 AT 2020-05-29 17:48    24.7   0 0 0
8454000 1 AT 2020-05-29 17:54    24.8   0 0 0
8454000 1 AT 2020-05-29 18:00    25.1   0 0 0
8454000 1 AT 2020-05-29 18:06    24.7   0 0 0
8454000 1 AT 2020-05-29 18:12    24.8   0 0 0
8454000 1 AT 2020-05-29 18:18    25.6   0 0 0
8454000 1 AT 2020-05-29 18:24    25.8   0 0 0
8454000 1 AT 2020-05-29 18:30    25.7   0 0 0
8454000 1 AT 2020-05-29 18:36    25.9   0 0 0
8454000 1 AT 2020-05-29 18:42    25.8   0 0 0
8454000 1 AT 2020-05-29 18:48    26.3   0 0 0
8454000 1 AT 2020-05-29 18:54    26.3   0 0 0
8454000 1 AT 2020-05-29 19:00    25.8   0 0 0
</pre>
</pre>





		















